CustomerID,Age,AnnualIncome,SpendingScore,Gender
389,57,760,95,Female
390,32,245,50,Male
391,50,640,85,Female
392,36,410,60,Male
393,26,210,40,Female
394,44,550,75,Male
395,55,730,90,Female
396,30,225,45,Male
397,48,570,70,Female
398,37,480,65,Male
399,27,200,35,Female
400,42,600,75,Male
401,58,770,95,Female
402,33,250,50,Male
403,51,650,85,Female
404,35,420,60,Male
405,25,215,40,Female
406,43,560,75,Male
407,56,740,90,Female
408,31,230,45,Male
409,49,580,70,Female
410,38,490,65,Male
411,28,205,35,Female
412,41,610,75,Male
413,57,780,95,Female
414,32,255,50,Male
415,50,660,85,Female
416,36,430,60,Male
417,26,220,40,Female
418,44,570,75,Male
419,55,750,90,Female
420,30,235,45,Male
421,48,590,70,Female
422,37,500,65,Male
423,27,210,35,Female
424,42,620,75,Male
425,58,790,95,Female
426,33,260,50,Male
427,51,670,85,Female
428,35,440,60,Male
429,25,225,40,Female
430,43,580,75,Male
431,56,760,90,Female
432,31,240,45,Male
433,49,600,70,Female
434,38,510,65,Male
435,28,215,35,Female
436,41,630,75,Male
437,57,800,95,Female
438,32,265,50,Male
439,50,680,85,Female
440,36,450,60,Male
441,26,230,40,Female
442,44,590,75,Male
443,55,770,90,Female
444,30,245,45,Male
445,48,610,70,Female
446,37,520,65,Male
447,27,220,35,Female
448,42,640,75,Male
449,58,810,95,Female
450,33,270,50,Male
451,51,690,85,Female
452,35,460,60,Male
453,25,235,40,Female
454,43,600,75,Male
455,56,780,90,Female
456,31,250,45,Male
457,49,620,70,Female
458,38,530,65,Male
459,28,225,35,Female
460,41,650,75,Male
461,57,820,95,Female
462,32,275,50,Male
463,50,700,85,Female
464,36,470,60,Male
465,26,240,40,Female
466,44,610,75,Male
467,55,790,90,Female
468,30,255,45,Male
469,48,630,70,Female
470,37,540,65,Male
471,27,230,35,Female
472,42,660,75,Male
473,58,830,95,Female
474,33,280,50,Male
475,51,710,85,Female
476,35,480,60,Male
477,25,245,40,Female
478,43,620,75,Male
479,56,800,90,Female
480,31,260,45,Male
481,49,640,70,Female
482,38,550,65,Male
483,28,235,35,Female
484,41,670,75,Male
485,57,840,95,Female
486,32,285,50,Male
487,50,720,85,Female
488,36,490,60,Male
489,26,250,40,Female
490,44,630,75,Male
491,55,810,90,Female
492,30,265,45,Male
493,48,650,70,Female
494,37,560,65,Male
495,27,240,35,Female
496,42,680,75,Male
497,58,850,95,Female
498,33,290,50,Male
499,51,730,85,Female
500,35,500,60,Male
501,25,255,40,Female
502,43,640,75,Male
503,56,820,90,Female
504,31,270,45,Male
505,49,660,70,Female
506,38,570,65,Male
507,28,245,35,Female
508,41,690,75,Male
509,57,860,95,Female
510,32,295,50,Male
511,50,740,85,Female
512,36,510,60,Male
513,26,260,40,Female
514,44,650,75,Male
515,55,830,90,Female
516,30,275,45,Male
517,48,670,70,Female
518,37,580,65,Male
519,27,250,35,Female
520,42,700,75,Male
521,58,870,95,Female
522,33,300,50,Male
523,51,750,85,Female
524,35,520,60,Male
525,25,265,40,Female
526,43,660,75,Male
527,56,840,90,Female
528,31,280,45,Male
529,49,680,70,Female
530,38,590,65,Male
531,28,255,35,Female
532,41,710,75,Male
533,57,880,95,Female
534,32,305,50,Male
535,50,760,85,Female
536,36,530,60,Male
537,26,270,40,Female
538,44,670,75,Male
539,55,850,90,Female
540,30,285,45,Male
541,48,690,70,Female
542,37,600,65,Male
543,27,260,35,Female
544,42,720,75,Male
545,58,890,95,Female
546,33,310,50,Male
547,51,770,85,Female
548,35,540,60,Male
549,25,275,40,Female
550,43,680,75,Male
551,56,860,90,Female
552,31,290,45,Male
553,49,700,70,Female
554,38,610,65,Male
555,28,265,35,Female
556,41,730,75,Male
557,57,900,95,Female
558,32,315,50,Male
559,50,780,85,Female
560,36,550,60,Male
561,26,280,40,Female
562,44,690,75,Male
563,55,870,90,Female
564,30,295,45,Male
565,48,710,70,Female
566,37,620,65,Male
567,27,270,35,Female
568,42,740,75,Male
569,58,910,95,Female
570,33,320,50,Male
571,51,790,85,Female
572,35,560,60,Male
573,25,285,40,Female
574,43,700,75,Male
575,56,880,90,Female
576,31,300,45,Male
577,49,720,70,Female
578,38,630,65,Male
579,28,275,35,Female
580,41,750,75,Male
581,57,920,95,Female
582,32,325,50,Male
583,50,800,85,Female
584,36,570,60,Male
585,26,290,40,Female
586,44,710,75,Male
587,55,890,90,Female
588,30,305,45,Male
589,48,730,70,Female
590,37,640,65,Male
591,27,280,35,Female
592,42,760,75,Male
593,58,930,95,Female
594,33,330,50,Male
595,51,810,85,Female
596,35,580,60,Male
597,25,295,40,Female
598,43,720,75,Male
599,56,900,90,Female
600,31,310,45,Male
601,49,740,70,Female
602,38,650,65,Male
603,28,285,35,Female
604,41,770,75,Male
605,57,940,95,Female
606,32,335,50,Male
607,50,820,85,Female
608,36,590,60,Male
609,26,300,40,Female
610,44,730,75,Male
611,55,910,90,Female
612,30,315,45,Male
613,48,750,70,Female
614,37,660,65,Male
615,27,290,35,Female
616,42,780,75,Male
617,58,950,95,Female
618,33,340,50,Male
619,51,830,85,Female
620,35,600,60,Male
621,25,305,40,Female
622,43,740,75,Male
623,56,920,90,Female
624,31,320,45,Male
625,49,760,70,Female
626,38,670,65,Male
627,28,295,35,Female
628,41,790,75,Male
629,57,960,95,Female
630,32,345,50,Male
631,50,840,85,Female
632,36,610,60,Male
633,26,310,40,Female
634,44,750,75,Male
635,55,930,90,Female
636,30,325,45,Male
637,48,770,70,Female
638,37,680,65,Male
639,27,300,35,Female
640,42,800,75,Male
641,58,970,95,Female
642,33,350,50,Male
643,51,850,85,Female
644,35,620,60,Male
645,25,315,40,Female
646,43,760,75,Male
647,56,940,90,Female
648,31,330,45,Male
649,49,780,70,Female
650,38,690,65,Male
651,28,305,35,Female
652,41,810,75,Male
653,57,980,95,Female
654,32,355,50,Male
655,50,860,85,Female
656,36,630,60,Male
657,26,320,40,Female
658,44,770,75,Male
659,55,950,90,Female
660,30,335,45,Male
661,48,790,70,Female
662,37,700,65,Male
663,27,310,35,Female
664,42,820,75,Male
665,58,990,95,Female
666,33,360,50,Male
667,51,870,85,Female
668,35,640,60,Male
669,25,325,40,Female
670,43,780,75,Male
671,56,960,90,Female
672,31,340,45,Male
673,49,800,70,Female
674,38,710,65,Male
675,28,315,35,Female
676,41,830,75,Male
677,57,1000,95,Female
678,32,365,50,Male
679,50,880,85,Female
680,36,650,60,Male
681,26,330,40,Female
682,44,790,75,Male
683,55,970,90,Female
684,30,345,45,Male
685,48,810,70,Female
686,37,720,65,Male
687,27,320,35,Female
688,42,840,75,Male
689,58,1010,95,Female
690,33,370,50,Male
691,51,890,85,Female
692,35,660,60,Male
693,25,335,40,Female
694,43,800,75,Male
695,56,980,90,Female
696,31,350,45,Male
697,49,820,70,Female
698,38,730,65,Male
699,28,325,35,Female
700,41,850,75,Male
701,57,1020,95,Female
702,32,375,50,Male
703,50,900,85,Female
704,36,670,60,Male
705,26,340,40,Female
706,44,810,75,Male
707,55,990,90,Female
708,30,355,45,Male
709,48,830,70,Female
710,37,740,65,Male
711,27,330,35,Female
712,42,860,75,Male
713,58,1030,95,Female
714,33,380,50,Male
715,51,910,85,Female
716,35,680,60,Male
717,25,345,40,Female
718,43,820,75,Male
719,56,1000,90,Female
720,31,360,45,Male
721,49,840,70,Female
722,38,750,65,Male
723,28,335,35,Female
724,41,870,75,Male
725,57,1040,95,Female
726,32,385,50,Male
727,50,920,85,Female
728,36,690,60,Male
729,26,350,40,Female
730,44,830,75,Male
731,55,1010,90,Female
732,30,365,45,Male
733,48,850,70,Female
734,37,760,65,Male
735,27,340,35,Female
736,42,880,75,Male
737,58,1050,95,Female
738,33,390,50,Male
739,51,930,85,Female
740,35,700,60,Male
741,25,355,40,Female
742,43,840,75,Male
743,56,1020,90,Female
744,31,370,45,Male
745,49,860,70,Female
746,38,770,65,Male
747,28,345,35,Female
748,41,890,75,Male
749,57,1060,95,Female
750,32,395,50,Male
751,50,940,85,Female
752,36,710,60,Male
753,26,360,40,Female
754,44,850,75,Male
755,55,1030,90,Female
756,30,375,45,Male
757,48,870,70,Female
758,37,780,65,Male
759,27,350,35,Female
760,42,900,75,Male
761,58,1070,95,Female
762,33,400,50,Male
763,51,950,85,Female
764,35,720,60,Male
765,25,365,40,Female
766,43,860,75,Male
767,56,1040,90,Female
768,31,380,45,Male
769,49,880,70,Female
770,38,790,65,Male
771,28,355,35,Female
772,41,910,75,Male
773,57,1080,95,Female
774,32,405,50,Male
775,50,960,85,Female
776,36,730,60,Male
777,26,370,40,Female
778,44,870,75,Male
779,55,1050,90,Female
780,30,385,45,Male
781,48,890,70,Female
782,37,800,65,Male
783,27,360,35,Female
784,42,920,75,Male
785,58,1090,95,Female
786,33,410,50,Male
787,51,970,85,Female
788,35,740,60,Male
789,25,375,40,Female
790,43,880,75,Male
791,56,1060,90,Female
792,31,390,45,Male
793,49,900,70,Female
794,38,810,65,Male
795,28,365,35,Female
796,41,930,75,Male
797,57,1100,95,Female
798,32,415,50,Male
799,50,980,85,Female
800,36,750,60,Male
801,26,380,40,Female
802,44,890,75,Male
803,55,1070,90,Female
804,30,395,45,Male
805,48,910,70,Female
806,37,820,65,Male
807,27,370,35,Female
808,42,940,75,Male
809,58,1110,95,Female
810,33,420,50,Male
811,51,990,85,Female
812,35,760,60,Male
813,25,385,40,Female
814,43,900,75,Male
815,56,1080,90,Female
816,31,400,45,Male
817,49,920,70,Female
818,38,830,65,Male
819,28,375,35,Female
820,41,950,75,Male
821,57,1120,95,Female
822,32,425,50,Male
823,50,1000,85,Female
824,36,770,60,Male
825,26,390,40,Female
826,44,910,75,Male
827,55,1090,90,Female
828,30,405,45,Male
829,48,930,70,Female
830,37,840,65,Male
831,27,380,35,Female
832,42,960,75,Male
833,58,1130,95,Female
834,33,430,50,Male
835,51,1010,85,Female
836,35,780,60,Male
837,25,395,40,Female
838,43,920,75,Male
839,56,1100,90,Female
840,31,410,45,Male
841,49,940,70,Female
842,38,850,65,Male
843,28,385,35,Female
844,41,970,75,Male
845,57,1140,95,Female
846,32,435,50,Male
847,50,1020,85,Female
848,36,790,60,Male
849,26,400,40,Female
850,44,930,75,Male
851,55,1110,90,Female
852,30,415,45,Male
853,48,950,70,Female
854,37,860,65,Male
855,27,390,35,Female
856,42,980,75,Male
857,58,1150,95,Female
858,33,440,50,Male
859,51,1030,85,Female
860,35,800,60,Male
861,25,405,40,Female
862,43,940,75,Male
863,56,1120,90,Female
864,31,420,45,Male
865,49,960,70,Female
866,38,870,65,Male
867,28,395,35,Female
868,41,990,75,Male
869,57,1160,95,Female
870,32,445,50,Male
871,50,1040,85,Female
872,36,810,60,Male
873,26,410,40,Female
874,44,950,75,Male
875,55,1130,90,Female
876,30,425,45,Male
877,48,970,70,Female
878,37,880,65,Male
879,27,400,35,Female
880,42,1000,75,Male
881,58,1170,95,Female
882,33,450,50,Male
883,51,1050,85,Female
884,35,820,60,Male
885,25,415,40,Female
886,43,960,75,Male
887,56,1140,90,Female
888,31,430,45,Male
889,49,980,70,Female
890,38,890,65,Male
891,28,405,35,Female
892,41,1010,75,Male
893,57,1180,95,Female
894,32,455,50,Male
895,50,1060,85,Female
896,36,830,60,Male
897,26,420,40,Female
898,44,970,75,Male
899,55,1150,90,Female
900,30,435,45,Male
901,48,990,70,Female
902,37,900,65,Male
903,27,410,35,Female
904,42,1020,75,Male
905,58,1190,95,Female
906,33,460,50,Male
907,51,1070,85,Female
908,35,840,60,Male
909,25,425,40,Female
910,43,980,75,Male
911,56,1160,90,Female
912,31,440,45,Male
913,49,1000,70,Female
914,38,910,65,Male
915,28,415,35,Female
916,41,1030,75,Male
917,57,1200,95,Female
918,32,465,50,Male
919,50,1080,85,Female
920,36,850,60,Male
921,26,430,40,Female
922,44,990,75,Male
923,55,1170,90,Female
924,30,445,45,Male
925,48,1010,70,Female
926,37,920,65,Male
927,27,420,35,Female
928,42,1040,75,Male
929,58,1210,95,Female
930,33,470,50,Male
931,51,1090,85,Female
932,35,860,60,Male
933,25,435,40,Female
934,43,1000,75,Male
935,56,1180,90,Female
936,31,450,45,Male
937,49,1020,70,Female
938,38,930,65,Male
939,28,425,35,Female
940,41,1050,75,Male
941,57,1220,95,Female
942,32,475,50,Male
943,50,1100,85,Female
944,36,870,60,Male
945,26,440,40,Female
946,44,1010,75,Male
947,55,1190,90,Female
948,30,455,45,Male
949,48,1030,70,Female
950,37,940,65,Male
951,27,430,35,Female
952,42,1060,75,Male
953,58,1230,95,Female
954,33,480,50,Male
955,51,1110,85,Female
956,35,880,60,Male
957,25,445,40,Female
958,43,1020,75,Male
959,56,1200,90,Female
960,31,460,45,Male
961,49,1040,70,Female
962,38,950,65,Male
963,28,435,35,Female
964,41,1070,75,Male
965,57,1240,95,Female
966,32,485,50,Male
967,50,1120,85,Female
968,36,890,60,Male
969,26,450,40,Female
970,44,1030,75,Male
971,55,1210,90,Female
972,30,465,45,Male
973,48,1050,70,Female
974,37,960,65,Male
975,27,440,35,Female
976,42,1080,75,Male
977,58,1250,95,Female
978,33,490,50,Male
979,51,1130,85,Female
980,35,900,60,Male
981,25,455,40,Female
982,43,1040,75,Male
983,56,1220,90,Female
984,31,470,45,Male
985,49,1060,70,Female
986,38,970,65,Male
987,28,445,35,Female
988,41,1090,75,Male
989,57,1260,95,Female
990,32,495,50,Male
991,50,1140,85,Female
992,36,910,60,Male
993,26,460,40,Female
994,44,1050,75,Male
995,55,1230,90,Female
996,30,475,45,Male
997,48,1070,70,Female
998,37,980,65,Male
999,27,450,35,Female
1000,42,1100,75,Male
